brand_id,date,num
1,2017-03-01,24
1,2017-03-02,18
1,2017-03-03,16
1,2017-03-06,108
1,2017-03-07,28
1,2017-03-08,27
1,2017-03-09,10
1,2017-03-10,11
1,2017-03-13,56
1,2017-03-14,17
1,2017-03-15,29
1,2017-03-16,21
1,2017-03-17,12
1,2017-03-21,71
1,2017-03-22,23
1,2017-03-23,3
1,2017-03-24,10
1,2017-03-27,68
1,2017-03-28,6
1,2017-03-29,10
1,2017-03-30,8
1,2017-03-31,2
1,2017-04-03,92
1,2017-04-04,24
1,2017-04-05,31
1,2017-04-06,10
1,2017-04-07,23
1,2017-04-10,101
1,2017-04-11,27
1,2017-04-12,44
1,2017-04-13,11
1,2017-04-14,18
1,2017-04-17,85
1,2017-04-18,25
1,2017-04-19,37
1,2017-04-20,27
1,2017-04-21,12
1,2017-04-24,105
1,2017-04-25,11
1,2017-04-26,28
1,2017-04-27,5
1,2017-04-28,4
1,2017-05-01,38
1,2017-05-02,4
1,2017-05-08,24
1,2017-05-09,17
1,2017-05-10,30
1,2017-05-11,8
1,2017-05-12,10
1,2017-05-15,95
1,2017-05-16,21
1,2017-05-17,23
1,2017-05-18,10
1,2017-05-19,7
1,2017-05-22,94
1,2017-05-23,20
1,2017-05-24,20
1,2017-05-25,24
1,2017-05-26,8
1,2017-05-29,73
1,2017-05-30,20
1,2017-05-31,12
1,2017-06-01,4
1,2017-06-02,9
1,2017-06-05,73
1,2017-06-06,29
1,2017-06-07,34
1,2017-06-08,13
1,2017-06-09,9
1,2017-06-12,70
1,2017-06-13,16
1,2017-06-14,26
1,2017-06-15,17
1,2017-06-16,10
1,2017-06-19,73
1,2017-06-20,17
1,2017-06-21,29
1,2017-06-22,13
1,2017-06-23,17
1,2017-06-26,61
1,2017-06-27,18
1,2017-06-28,30
1,2017-06-29,4
1,2017-06-30,9
1,2017-07-03,118
1,2017-07-04,25
1,2017-07-05,28
1,2017-07-06,13
1,2017-07-07,36
1,2017-07-10,75
1,2017-07-11,17
1,2017-07-12,22
1,2017-07-13,20
1,2017-07-14,5
1,2017-07-18,75
1,2017-07-19,41
1,2017-07-20,16
1,2017-07-21,18
1,2017-07-24,89
1,2017-07-25,13
1,2017-07-26,28
1,2017-07-27,30
1,2017-07-28,23
1,2017-07-31,87
1,2017-08-01,29
1,2017-08-02,40
1,2017-08-03,23
1,2017-08-04,16
1,2017-08-07,121
1,2017-08-08,20
1,2017-08-09,25
1,2017-08-10,1
1,2017-08-17,18
1,2017-08-18,26
1,2017-08-21,88
1,2017-08-22,24
1,2017-08-23,53
1,2017-08-24,18
1,2017-08-25,4
1,2017-08-28,81
1,2017-08-29,26
1,2017-08-30,21
1,2017-08-31,9
1,2017-09-01,5
1,2017-09-04,109
1,2017-09-05,15
1,2017-09-06,40
1,2017-09-07,19
1,2017-09-08,9
1,2017-09-11,60
1,2017-09-12,17
1,2017-09-13,18
