brand_id,price_date,price
1,2017-03-01,2832
1,2017-03-02,2847
1,2017-03-03,2919
1,2017-03-06,3134
1,2017-03-07,2680
1,2017-03-08,3126
1,2017-03-09,2887
1,2017-03-10,2992
1,2017-03-13,3303
1,2017-03-14,2887
1,2017-03-15,2837
1,2017-03-16,2825
1,2017-03-17,2860
1,2017-03-21,3219
1,2017-03-22,2980
1,2017-03-23,2971
1,2017-03-24,3015
1,2017-03-27,3208
1,2017-03-28,2951
1,2017-03-29,2994
1,2017-03-30,2949
1,2017-03-31,3034
1,2017-04-03,3267
1,2017-04-04,3016
1,2017-04-05,3066
1,2017-04-06,2926
1,2017-04-07,2843
1,2017-04-10,3321
1,2017-04-11,2961
1,2017-04-12,3128
1,2017-04-13,2940
1,2017-04-14,3017
1,2017-04-17,3341
1,2017-04-18,2918
1,2017-04-19,2884
1,2017-04-20,2899
1,2017-04-21,2834
1,2017-04-24,3367
1,2017-04-25,2872
1,2017-04-26,2786
1,2017-04-27,2829
1,2017-04-28,2892
1,2017-05-01,3201
1,2017-05-02,2934
1,2017-05-08,3238
1,2017-05-09,2884
1,2017-05-10,3078
1,2017-05-11,3037
1,2017-05-12,2893
1,2017-05-15,3164
1,2017-05-16,2865
1,2017-05-17,2902
1,2017-05-18,2792
1,2017-05-19,2718
1,2017-05-22,3281
1,2017-05-23,2870
1,2017-05-24,2902
1,2017-05-25,2918
1,2017-05-26,2897
1,2017-05-29,3362
1,2017-05-30,2717
1,2017-05-31,2911
1,2017-06-01,3169
1,2017-06-02,3050
1,2017-06-05,3230
1,2017-06-06,2777
1,2017-06-07,2979
1,2017-06-08,2964
1,2017-06-09,2888
1,2017-06-12,3247
1,2017-06-13,2724
1,2017-06-14,2986
1,2017-06-15,2850
1,2017-06-16,2903
1,2017-06-19,3260
1,2017-06-20,2725
1,2017-06-21,2873
1,2017-06-22,2858
1,2017-06-23,3009
1,2017-06-26,3336
1,2017-06-27,2832
1,2017-06-28,2971
1,2017-06-29,2642
1,2017-06-30,2972
1,2017-07-03,3229
1,2017-07-04,2894
1,2017-07-05,2850
1,2017-07-06,2905
1,2017-07-07,3292
1,2017-07-10,3277
1,2017-07-11,2891
1,2017-07-12,2830
1,2017-07-13,2939
1,2017-07-14,2761
1,2017-07-18,3306
1,2017-07-19,3109
1,2017-07-20,2834
1,2017-07-21,3063
1,2017-07-24,3232
1,2017-07-25,2882
1,2017-07-26,3044
1,2017-07-27,2897
1,2017-07-28,2771
1,2017-07-31,3227
1,2017-08-01,2759
1,2017-08-02,2880
1,2017-08-03,2754
1,2017-08-04,2614
1,2017-08-07,2960
1,2017-08-08,2742
1,2017-08-09,2803
1,2017-08-10,3137
1,2017-08-17,2707
1,2017-08-18,2775
1,2017-08-21,3160
1,2017-08-22,2798
1,2017-08-23,2841
1,2017-08-24,2865
1,2017-08-25,3000
1,2017-08-28,3181
1,2017-08-29,2762
1,2017-08-30,2915
1,2017-08-31,2832
1,2017-09-01,3043
1,2017-09-04,3174
1,2017-09-05,2926
1,2017-09-06,2905
1,2017-09-07,2795
1,2017-09-08,2900
1,2017-09-11,3187
1,2017-09-12,2763
1,2017-09-13,3009
1,2017-09-14,2843
1,2017-09-15,2964
1,2017-09-19,3155
1,2017-09-20,2751
1,2017-09-21,3028
1,2017-09-22,2820
1,2017-09-25,3110
1,2017-09-26,2885
1,2017-09-27,2924
1,2017-09-28,3073
1,2017-09-29,2973
1,2017-10-02,3113
1,2017-10-03,2822
1,2017-10-04,2834
1,2017-10-05,2864
1,2017-10-06,2764
1,2017-10-10,3138
1,2017-10-11,2840
1,2017-10-12,2953
1,2017-10-13,2939
1,2017-10-16,3184
1,2017-10-17,2771
1,2017-10-18,2818
1,2017-10-19,2707
1,2017-10-20,2892
1,2017-10-23,3214
1,2017-10-24,2578
1,2017-10-25,2907
1,2017-10-26,2837
1,2017-10-27,3262
1,2017-10-30,3409
1,2017-10-31,3068
1,2017-11-01,2876
1,2017-11-02,2948
1,2017-11-06,3207
1,2017-11-07,2987
1,2017-11-08,2965
1,2017-11-09,2820
1,2017-11-10,2905
1,2017-11-13,3622
1,2017-11-14,2865
1,2017-11-15,3012
1,2017-11-16,2910
1,2017-11-17,3028
1,2017-11-20,3579
1,2017-11-21,2973
1,2017-11-22,3066
1,2017-11-24,2969
1,2017-11-27,3649
1,2017-11-28,3046
1,2017-11-29,2984
1,2017-11-30,3110
1,2017-12-01,3093
1,2017-12-04,3490
1,2017-12-05,3069
1,2017-12-06,3090
1,2017-12-07,3142
1,2017-12-08,2996
1,2017-12-09,3017
1,2017-12-11,3633
1,2017-12-12,3063
1,2017-12-13,3259
1,2017-12-14,3011
1,2017-12-15,3020
1,2017-12-18,3845
1,2017-12-19,3034
1,2017-12-20,3157
1,2017-12-21,3045
1,2017-12-22,2888
1,2017-12-23,2885
1,2017-12-25,3383
1,2017-12-26,2881
1,2017-12-27,2685
1,2017-12-28,2757
1,2018-01-10,2928
1,2018-01-11,2943
1,2018-01-12,2870
1,2018-01-15,3097
1,2018-01-16,2799
1,2018-01-17,2870
1,2018-01-18,2738
1,2018-01-19,2888
1,2018-01-22,3083
1,2018-01-23,2745
1,2018-01-24,2762
1,2018-01-25,2780
1,2018-01-26,2994
1,2018-01-29,3140
1,2018-01-30,2861
1,2018-01-31,2803
1,2018-02-01,2948
1,2018-02-02,2897
1,2018-02-05,3139
1,2018-02-06,2826
1,2018-02-07,2887
1,2018-02-08,2868
1,2018-02-09,2724
1,2018-02-13,3205
1,2018-02-14,2888
1,2018-02-15,2866
1,2018-02-16,2623
1,2018-02-19,3179
1,2018-02-20,2859
1,2018-02-21,2998
1,2018-02-22,2842
1,2018-02-23,2813
1,2018-02-26,3149
1,2018-02-27,2872
1,2018-02-28,2894
1,2018-03-01,2741
1,2018-03-02,2777
1,2018-03-05,3135
1,2018-03-06,2930
1,2018-03-07,2867
1,2018-03-08,2845
1,2018-03-09,2945
1,2018-03-12,3323
